date,returns,dbc,hyg,ief,spy,united-states-ig-oas-all-sector,united-states-hy-oas-all-sector,united-states-cmt10y
2018-01-04,0.00117712,-0.0011919,0.00170775,-0.0004748,0.00420603,0.8751855469530789,2.2813379248456997,2.46
2018-01-05,0.00047055,-0.0035842,0.00068228,-0.0012356,0.00664186,0.8771127005668621,2.20350374109527,2.46999999999999
2018-01-08,0.00054571,-0.0005986,-0.000796,-0.0004756,0.00182702,0.8757037352447079,2.22788337226245,2.49
2018-01-09,-0.0004524,0.00656523,-0.0030764,-0.0047687,0.00226088,0.859248730308958,2.19206528942538,2.55
2018-01-10,-0.0005195,0.00356295,-0.0021706,-0.0002868,-0.001531,0.860850045186517,2.26295761840598,2.55
2018-01-11,0.00085719,-0.0005929,0.00331107,0.00066918,0.00726959,0.851132341887504,2.23094604551347,2.54
2018-01-12,0.00072125,0.00650313,-0.0017113,-0.0006692,0.00649775,0.8436920848812051,2.2131274276990003,2.55
2018-01-16,0.00067423,-0.0047253,-0.0005711,0.00047803,-0.0034241,0.828736856710367,2.21036118335079,2.54
2018-01-17,4.32e-05,0.00118343,0.00011424,-0.0022009,0.00948658,0.8268161078478891,2.17553739206507,2.57
2018-01-18,-0.000857,0.0,-0.0010286,-0.0031662,-0.0016823,0.8253161645278481,2.18848433395701,2.62
2018-01-19,-9e-05,-0.0017757,0.00102863,-0.002598,0.00453937,0.7967554735129361,2.16478597683856,2.64
2018-01-22,7.36e-05,0.00236687,0.00091345,-0.0003855,0.00809807,0.810150799104438,2.1786496257411,2.66
2018-01-23,0.00061721,0.00706717,0.00296297,0.00288739,0.00212022,0.823278577414558,2.19113727377488,2.63
2018-01-24,-0.0001109,0.01050798,-0.0014804,-0.001924,-0.0003884,0.815156300362277,2.15450855215045,2.65
2018-01-25,0.00114081,-0.0058241,-0.000684,0.00221228,0.00042367,0.8166773164422859,2.17501820236836,2.63
2018-01-26,0.00050093,0.00756477,0.00079795,-0.0029829,0.01151132,0.798744626721452,2.12625299557181,2.66
2018-01-29,3.61e-06,-0.0029028,-0.0035386,-0.0025087,-0.006652,0.789771232137855,2.15360576605423,2.7
2018-01-30,-0.0009804,-0.0070012,-0.0034364,-0.0023213,-0.0103101,0.799380724925578,2.19043260755965,2.73
2018-01-31,0.00068783,0.00117028,0.00171969,0.00029046,0.00049675,0.784180997105845,2.16442442249134,2.71999999999999
2018-02-01,-0.0004686,0.00989243,-0.0018682,-0.0051646,-0.0011358,0.7631489735138259,2.13380840712141,2.78
2018-02-02,-0.0020509,-0.016346,-0.0063588,-0.0037106,-0.0220105,0.7651792235462329,2.12783796935305,2.84
2018-02-05,-0.0014232,-0.0094619,-0.0055827,0.00818399,-0.0427222,0.8117959533485779,2.36421392976015,2.77
2018-02-06,-0.0010181,-0.0059595,0.00604653,-0.0043759,0.01951062,0.7885348519056979,2.2371758486766797,2.79
2018-02-07,0.00058428,-0.0114218,-0.0037166,-0.002928,-0.0054397,0.799030174186408,2.21866057584075,2.84
2018-02-08,-0.0026141,-0.0103313,-0.0087653,0.00087929,-0.0382304,0.8229375560874701,2.35456714871826,2.85
2018-02-09,-0.003327,-0.0147695,-0.0028212,-0.0017594,0.01490984,0.8362055239149621,2.44007530783917,2.83
2018-02-12,0.00086434,0.00618049,0.00680434,-0.0002935,0.01457774,0.8437074129572789,2.36066841326273,2.86
2018-02-13,-0.00072,0.00184672,-0.0031618,0.00166219,0.00248429,0.882762710667113,2.44087218381169,2.83
2018-02-14,-0.0003917,0.01525815,0.00175778,-0.0060755,0.01340598,0.858739783892985,2.33131921471945,2.91
2018-02-15,0.00188024,0.00181543,0.00804622,0.00029483,0.01267939,0.846266871640732,2.25998239190921,2.9
2018-02-16,0.00153409,0.00181214,0.0040568,0.00235548,0.00029297,0.845660888964365,2.24021584373834,2.87
2018-02-20,0.00022262,0.00301296,-0.0034762,-0.0010789,-0.0062809,0.852540299472618,2.2303780084897,2.88
2018-02-21,-0.0005454,-0.0012041,-0.0045373,-0.0029484,-0.0049866,0.828146365231208,2.19901589025632,2.94
2018-02-22,-0.0003616,0.00899556,0.00069938,0.001377,0.00129522,0.8483129658696911,2.28112108190849,2.92
2018-02-23,0.00077338,0.00654569,0.00661985,0.00382597,0.01581365,0.865645407653508,2.28840327179591,2.88
2018-02-26,0.00135422,0.00532388,0.00173481,0.00117428,0.01154534,0.8557660450422531,2.22509268094245,2.86
2018-02-27,0.00036724,-0.0100801,-0.0026613,-0.0031345,-0.0125651,0.850883918893203,2.1947962548799698,2.9
2018-02-28,0.00023436,-0.010785,-0.0015073,0.00235179,-0.0101817,0.8676058665613,2.2428817653274398,2.87
2018-03-01,-0.0008156,0.0018056,-0.0066131,0.00429188,-0.0146475,0.9026805678646891,2.3402801407784697,2.81
2018-03-02,-0.0008195,0.0,0.00561339,-0.003716,0.00514178,0.9080208001690591,2.2930392051533097,2.86
2018-03-05,0.00058271,0.00599522,0.0,-0.0012744,0.01149162,0.904253235553634,2.27087188891052,2.88
2018-03-06,0.0012199,0.00357996,0.00139844,-9.81e-05,0.00253179,0.8874405304228791,2.22155819140934,2.88
2018-03-07,-0.0002724,-0.0107785,-0.0024486,0.0,-0.0003665,0.891005175781039,2.26644481236454,2.89
2018-03-08,3.07e-05,-0.0060387,0.00116673,0.00205812,0.00482739,0.885666266330602,2.26137118148726,2.86
2018-03-09,0.00093469,0.00964444,0.00360822,-0.0021562,0.01725272,0.888525865437655,2.2195809703797,2.9
2018-03-12,0.00080973,-0.0018013,-0.0016279,0.00235202,-0.0012559,0.890831314949218,2.24573472310282,2.87
2018-03-13,-0.0002131,-0.0030093,-0.003147,0.00166267,-0.0064837,0.8926987034393029,2.2655272521869403,2.84
2018-03-14,0.00037183,0.0,-0.0011681,0.00195255,-0.0051448,0.904030530761043,2.28815676129627,2.81
2018-03-15,-0.0008425,-0.000603,0.00070102,-0.0003902,-0.0010903,0.917493806249587,2.2922255402621,2.82
2018-03-16,-0.0001366,0.00361229,0.00210011,-0.0011715,0.0010866,0.901312269421342,2.197936249685,2.85
2018-03-19,-0.0008634,-0.0066325,-0.0040876,-0.0009773,-0.0136226,0.917511357313877,2.26106822167951,2.85
2018-03-20,-0.0007944,0.00663252,0.00198749,-0.0019575,0.00169917,0.920259913400116,2.2249648928035,2.89
2018-03-21,3.64e-05,0.01786825,0.00035032,0.00068557,-0.001921,0.924061894034521,2.24102316309073,2.89
2018-03-22,9.6e-05,-0.0077037,-0.0059723,0.00410357,-0.025315,0.9457908082230471,2.3274582988901,2.83
2018-03-23,-0.0010372,0.00888368,-0.0025873,0.00136412,-0.021545,0.963844584601534,2.32087320797842,2.82
